"X","abv","ibu","id","name","style","brewery_id","ounces"
1568,0.087,85,806,"Gordon Imperial Red (2010)","IPA",166,12
1571,0.087,85,726,"G'KNIGHT (16 oz.)","IPA",166,16
1576,0.09,60,391,"One Hit Wonder","IPA",166,12
1577,0.087,85,388,"G'KNIGHT (12 oz.)","IPA",166,12
1578,0.099,98,8,"Ten Fidy Imperial Stout","Stout",166,12
1579,0.053,35,7,"Mama's Little Yella Pils","Pilsener",166,12
1580,0.099,100,6,"GUBNA Imperial IPA","IPA",166,12
1582,0.087,85,4,"Gordon Ale (2009)","IPA",166,12
1584,0.092,85,805,"Gordon (2005)","IPA",503,12
1585,0.095,98,804,"Ten Fidy Imperial Stout (2008)","Stout",503,12
1586,0.099,98,803,"Ten Fidy Imperial Stout (2007)","Stout",503,12
1596,0.087,60,733,"Gordon Beer (2006)","IPA",503,12
1597,0.087,85,1533,"G'KNIGHT","IPA",389,12
1598,0.099,98,1532,"Ten Fidy","Stout",389,12
1599,0.08,85,1328,"Deviant Dale's IPA","IPA",389,16
1608,0.052,23,1268,"Rustic Red","Red Ale",441,16
1612,0.05,24,694,"Cache La Porter","Porter",441,16
1614,0.062,65,1048,"Outlaw IPA","IPA",307,12
1617,0.055,25,775,"Mutton Buster","Brown Ale",307,12
1623,0.065,77,2175,"Mound Builder IPA","IPA",205,12
1624,0.062,62,2168,"Amazon Princess IPA","IPA",205,12
1627,0.055,10,2633,"Hotbox Brown","Brown Ale",13,12
1628,0.048,15,2632,"Gold","Blonde Ale",13,12
1630,0.065,65,2630,"98 Problems (Cuz A Hop Ain't One)","IPA",13,12
1632,0.05,35,2628,"Grapefruit IPA","IPA",13,12
1641,0.059,25,1404,"North 45 Amber Ale","Red Ale",11,16
1643,0.067,74,1402,"Mind's Eye PA","IPA",11,16
1644,0.061,60,2312,"Camelback","IPA",157,12
1647,0.07,75,1384,"Elephant Rock IPA","IPA",355,12
1653,0.045,18,1335,"Float Trip Ale","Blonde Ale",314,16
1654,0.055,25,847,"Old Tom Porter","Porter",314,16
1656,0.055,20,521,"McKinney Eddy Amber Ale","Red Ale",314,16
1657,0.07,70,479,"Missouri Mule India Pale Ale","IPA",314,16
1659,0.069,51,1760,"GreyBeard™ IPA","IPA",324,12
1672,0.058,21,1461,"Peacemaker Pilsner","Pilsener",135,12
1674,0.058,21,188,"Pallavicini Pilsner (2009)","Pilsener",135,12
1678,0.045,35,2031,"Golden Fleece","IPA",246,12
1679,0.055,30,2030,"Smoking Mirror","Porter",246,12
