"name","Radius","Period","Discovery_method","star_mass","star_radius","star_temperature"
"Kepler-635 b",0.236,23.44971004,"transit",1.33,1.51,6174
"Kepler-1301 b",0.125,9.08237046,"transit",0.85,0.81,5188
"Kepler-896 b",0.226,144.547396,"transit",0.84,0.81,5262
"Kepler-628 b",0.749,15.4580567,"transit",1,1.28,5721
"EPIC 201702477 b",0.67,40.7362,"transit",0.87,0.85,5618
"Kepler-1449 b",0.15,13.2274528,"transit",1.08,1.1,5979
"WASP-77 A b",1.21,1.3600309,"transit",1.002,1.12,5500
"HATS-33 b",1.23,2.5495551,"transit",1.062,1.022,5659
"Kepler-671 b",0.24,4.28095859,"transit",0.97,0.95,5624
"Qatar-4 b",1.552,1.8053949,"Others",0.954,1.115,5219
"HAT-48 b",1.131,4.40865,"transit",1.099,1.223,5946
"Kepler-1427 b",0.098,0.96897238,"transit",1.01,1.01,5793
"WASP-56 b",1.092,4.617101,"transit",1.03,0.99,5600
"CoRoT-1 b",1.49,1.5089557,"transit",0.95,1.11,6298
"Kepler-549 b",0.229,42.9495649,"transit",0.88,0.84,5360
"Kepler-549 c",0.261,117.040498,"transit",0.88,0.84,5360
"Kepler-1349 b",0.062,2.12823928,"transit",1.16,1.28,6086
"Kepler-68 b",0.206,5.398763,"transit",1.079,1.243,5793
"Kepler-68 c",0.085,9.605085,"transit",1.079,1.243,5793
"Kepler-164 c",0.24879,10.945723,"transit",1.15,1.148,5888
"Kepler-164 d",0.22327,28.986769,"transit",1.15,1.148,5888
"Kepler-164 b",0.12849,5.03503,"transit",1.15,1.148,5888
"WASP-120 b",1.515,3.6112706,"transit",1.45,1.93,6450
"Kepler-76 b",1.36,1.54492875,"transit",1.2,1.32,6409
"CoRoT-17 b",1.02,3.768125,"transit",1.04,1.59,5740
"WASP-136 b",1.38,5.215357,"transit",1.51,1.38,6260
"Kepler-1271 b",0.132,3.0255955,"transit",1.13,1.23,6143
"Kepler-787 b",0.114,0.9283105,"transit",0.65,0.62,4248
"Kepler-812 b",0.317,10.11716531,"transit",1.45,1.71,6761
"Kepler-234 b",0.33718,2.711506,"transit",1.09,1.113,6224
"Kepler-234 c",0.31987,7.21205,"transit",1.09,1.113,6224
"Kepler-1226 b",0.129,17.2923453,"transit",1.02,1.02,5923
"Kepler-543 b",0.223,13.89961966,"transit",0.7,0.67,4671
"Kepler-1454 b",0.168,47.0319479,"transit",0.9,0.86,5448
"Lupus-TR 3b",0.89,3.91405,"transit",0.87,0.82,5000
"Kepler-167 b",0.13214,4.393147,"transit",0.713,0.696,4796
"Kepler-167 c",0.12485,7.406097,"transit",0.713,0.696,4796
